reading file output.json
+------------------------------------------------------+--------------+
| JavaFile                                             | BackendCalls |
| TQGIS.view.schedules.ScheduleImplementation          |      2       |
| TQGIS.view.reinsurance.XolPremBacking                |      2       |
| TQGIS.view.reinsurance.XOLProcessDAO                 |      2       |
| TQGIS.view.reinsurance.FacreAgentsDAO                |      2       |
| TQGIS.view.quotations.ProductQDAO                    |      2       |
| TQGIS.view.quotations.EditQuotation                  |      2       |
| TQGIS.view.policies.PolicyRenewals                   |      2       |
| TQGIS.view.login.Index                               |      2       |
| TQGIS.view.certificates.PrintCertBack                |      2       |
| TQGIS.view.certificates.CertificateProcessing        |      2       |
| TQGIS.view.certificates.CertificateLots              |      2       |
| TQGIS.view.alerts.PasFolderJob                       |      2       |
| TQGIS.view.accounts.ReinPoolPayments                 |      2       |
| TQGIS.view.accounts.AccountsReconcBacking            |      2       |
| TQGIS.view.RiskLoadingThread                         |      2       |
| TQGIS.view.ExcelImportation.FileProcessor            |      2       |
| TQGIS.view.Ecm.ECMDAO                                |      2       |
| TQGIS.view.ClientDetails.ProspectBacking             |      2       |
| TQGIS.view.ClientDetails.Authorization               |      2       |
| TQGIS.view.utilities.SystemUtilities                 |      1       |
| TQGIS.view.utilities.PrintEngine                     |      1       |
| TQGIS.view.utilities.PSVExcelBeanDAO                 |      1       |
| TQGIS.view.utilities.ImageUploadBean                 |      1       |
| TQGIS.view.utilities.FileUtilities                   |      1       |
| TQGIS.view.setup.SectionBack                         |      1       |
| TQGIS.view.setup.ReasonCancelled                     |      1       |
| TQGIS.view.setup.PaymentItemsBacking                 |      1       |
| TQGIS.view.setup.ParametersSetup                     |      1       |
| TQGIS.view.setup.LovData                             |      1       |
| TQGIS.view.setup.DiscountRatesDAO                    |      1       |
| TQGIS.view.setup.DisabilityScaleBacking              |      1       |
| TQGIS.view.setup.CompletionRemarkBacking             |      1       |
| TQGIS.view.setup.CommentsBacking                     |      1       |
| TQGIS.view.schedules.scheduleValuesLOV               |      1       |
| TQGIS.view.schedules.scheduleRendering               |      1       |
| TQGIS.view.schedules.schCaptureManipulation          |      1       |
| TQGIS.view.schedules.propertiesDAO                   |      1       |
| TQGIS.view.schedules.clausesDAO                      |      1       |
| TQGIS.view.schedules.QuotationScheduleBeanbkp        |      1       |
| TQGIS.view.schedules.QuotationScheduleBean           |      1       |
| TQGIS.view.schedules.LimitationsDAO                  |      1       |
| TQGIS.view.schedules.LiabilityLimitsDAO              |      1       |
| TQGIS.view.schedules.GoegDAO                         |      1       |
| TQGIS.view.schedules.GenVehicleDtls                  |      1       |
| TQGIS.view.schedules.GenSchedules                    |      1       |
| TQGIS.view.schedules.GenPrevLosses                   |      1       |
| TQGIS.view.schedules.GenMotorProposals               |      1       |
| TQGIS.view.schedules.FireSchedulesDAO                |      1       |
| TQGIS.view.schedules.DynamicTableBean                |      1       |
| TQGIS.view.schedules.DriversDAO                      |      1       |
| TQGIS.view.schedules.AccessoriesDAO                  |      1       |
| TQGIS.view.scheduler.SchedulerBack                   |      1       |
| TQGIS.view.scheduler.RenewalAlert                    |      1       |
| TQGIS.view.scheduler.AlertDAO                        |      1       |
| TQGIS.view.reinsurance.riskTreatyDAO                 |      1       |
| TQGIS.view.reinsurance.policyDetailsDAO              |      1       |
| TQGIS.view.reinsurance.TreatySummaryBack             |      1       |
| TQGIS.view.reinsurance.TreatySetupDAO                |      1       |
| TQGIS.view.reinsurance.TreatyParticipantsDAO         |      1       |
| TQGIS.view.reinsurance.FacreCessionAgentsDAO         |      1       |
| TQGIS.view.policies.PolicyFacadeFactory              |      1       |
| TQGIS.view.policies.PolicyEditable                   |      1       |
| TQGIS.view.policies.BoquetDAO                        |      1       |
| TQGIS.view.polQuotations.polQuotSectionsDAO          |      1       |
| TQGIS.view.login.LoginUtils                          |      1       |
| TQGIS.view.login.Authenticator                       |      1       |
| TQGIS.view.connect.DBConnector                       |      1       |
| TQGIS.view.client.ClientDAO                          |      1       |
| TQGIS.view.base.TestDAO                              |      1       |
| TQGIS.view.backing.FormFieldsBacking                 |      1       |
| TQGIS.view.alerts.ScheduleListener                   |      1       |
| TQGIS.view.alerts.LogsCleanerJob                     |      1       |
| TQGIS.view.alerts.LapsePolicies                      |      1       |
| TQGIS.view.accounts.AccountsTransNewDAO              |      1       |
| TQGIS.view.Resources.DBQueries                       |      1       |
| TQGIS.view.LapseTransactions                         |      1       |
| TQGIS.view.ImageServlet                              |      1       |
| TQGIS.view.Ecm.DCMBacking                            |      1       |
| TQGIS.view.ClientDetails.ClientDDBacking             |      1       |
| TQGIS.view.ClientDetails.BaseSetupsBacking1          |      1       |
| TQGIS.view.Calendar.CalendarMBean                    |      1       |
| TQGIS.view.BPM.Escalate                              |      1       |
| TQGIS.view.BPM.BPMUtils                              |      1       |
+------------------------------------------------------+--------------+
